country_code,country_name,year,gcf_const_2015_usd,gcf_curr_usd,gcf_pct_gdp,gdp_const_2015_usd,gdp_curr_usd,gdp_growth_annual_pct,gdp_pc_const_2015_usd,gdp_pc_curr_usd,gdp_pc_growth_annual_pct,gfcf_const_2015_usd,gfcf_curr_usd,gfcf_pct_gdp,population_total
CHN,China,1974,,47879670018.0051,33.1534340901066,288124133211.379,144418433058.472,2.31000000294736,320.013476105269,160.402546852304,0.218005667350923,,38293247655.5333,26.5154847927406,900350000.0
CHN,China,1975,,57258710409.539,34.9804771441711,313248557620.151,163687619735.857,8.71999999747992,341.827004315989,178.621249282085,6.81644050625665,,47472832936.2525,29.0020913083467,916395000.0
CHN,China,1976,,51138255627.9827,33.1642759720738,308330555260.336,154196810058.643,-1.57000000165326,331.294213681681,165.680987722637,-3.08132198489825,,44699652856.293,28.9887014130144,930685000.0
CHN,China,1977,,59266474723.3725,33.8227621398292,331671178297.81,175226595859.778,7.57000000138403,351.549547458872,185.728620718294,6.11400167606095,,49200930266.231,28.0784603643177,943455000.0
CHN,China,1978,,56233026138.2114,37.5415882273122,369239420801.258,149788617886.179,11.3269542129809,386.167053595622,156.655616850835,9.84712009643518,,43875302560.9756,29.2914796732523,956165000.0
CHN,China,1979,,64710334643.4783,36.2372832294507,397282422830.885,178573913043.478,7.59480175999998,409.99006489222,184.285853059043,6.16909471555913,,50545117252.1739,28.3048718543046,969005000.0
CHN,China,1980,,66147553729.1667,34.544058348021,428434994544.795,191487500000.0,7.84141706847441,436.628325064633,195.149479992051,6.49729406965412,,54593387062.5,28.5101570924995,981235000.0
CHN,China,1981,,64535523825.3968,32.8896636883936,450348857948.493,196218253968.254,5.11486309071954,453.119684821175,197.425510967822,3.77697891086211,,53388698428.5714,27.2088337088195,993885000.0
CHN,China,1982,,65587896076.3359,31.9192153428932,490989885719.788,205480916030.534,9.02434347373044,486.788897534069,203.722788366928,7.43053410407046,,57916140351.145,28.1856541570696,1008630000.0
CHN,China,1983,,73648734593.8697,31.8645996336511,543878522308.357,231130268199.234,10.7718383060041,531.489502016356,225.86534696156,9.18274938247932,,65001225015.3257,28.1231988876917,1023310000.0
CHN,China,1984,,89365467310.7143,34.3128885510943,626505281173.79,260442857142.857,15.1921349118079,604.253640849507,251.192686463827,13.6906069747567,,76219038739.2857,29.2651676361692,1036825000.0
CHN,China,1985,,120898734132.653,38.9914630864753,710635430095.605,310064625850.34,13.4284820016509,676.125961043923,295.007445815897,11.8943958853723,,94181047057.8231,30.3746507037155,1051040000.0
